id,created_at,original_text,screen_name,author_id,replies,retweet_count,to,hashtags,user_mentions,urls
1099096482328776705,Fri Feb 22 23:59:56 +0000 2019,"#Nigeria: Caucus Meeting: APC, PDP Debate Allegations Against REC, Security Concerns Pt.1 https://goo.gl/DgvmHq",watsupafrica,2616078570,0,0,,#Nigeria,,https://goo.gl/DgvmHq
1099096450410135553,Fri Feb 22 23:59:48 +0000 2019,"Images Of Bullion Van Entering Bourdillon, Home Of APC National Leader Cc @officialEFCC, @OfficialAPCNg @OfficialPDPNig @NigeriaPolice @inecnigeria @GhenhisKhan @SegunShowunmi",iamchinedunwosu,448630493,0,4,,,@officialEFCC @OfficialAPCNg @OfficialPDPNig @NigeriaPolice @inecnigeria @GhenhisKhan @SegunShowunmi,
1099096417426202624,Fri Feb 22 23:59:40 +0000 2019,"APC Reps Member, Jibrin, Arrested Over Attack On Kwankwaso http://www.betagistnaija.com/2019/02/apc-reps-member-jibrin-arrested-over.html",Betagistnaija,1725913201,0,0,,,,http://www.betagistnaija.com/2019/02/apc-reps-member-jibrin-arrested-over.html
1099096333573636097,Fri Feb 22 23:59:20 +0000 2019,"Putin-Maduro-signo Libra. Jinete de la balanza Apocalíptico del Hambre ""dos libras de trigo por un denario (un salario mensual) apc. 6:5,6. ",profetafue1,969049064556912640,0,1,,,,
1099096171241500673,Fri Feb 22 23:58:42 +0000 2019,APC will win by the grace of God ,AhmedRsalisu1,1006052819881820160,0,0,TheNationNews,,,https://twitter.com/TheNationNews/status/1099095366040018950
1099096065020694533,Fri Feb 22 23:58:16 +0000 2019,APC has never won Taraba. It's been PDP since 1999,ekenestyle,348461067,0,0,stormdbsts,,,
1099096031986364416,Fri Feb 22 23:58:08 +0000 2019,Apc don start there scam at 11th hour,Samuel93980237,2288711354,0,0,Sagesammyy,,,
1099095964126564352,Fri Feb 22 23:57:52 +0000 2019,"It's only the deaf, blind and confused that will not see how backward buhari and apc are. Nigerians are out to reclaim their country and they are voting pdp. By Sunday morning this will be clear to u",tonydaymn10,3049705754,1,0,akeemfadare,,,
1099095892701913088,Fri Feb 22 23:57:35 +0000 2019,Major scam!!!! I repeat! Do not Vote APC!!!! ,ennylee_,366575792,0,0,EtniesJags,,,https://twitter.com/EtniesJags/status/1099001506072838144
1099095802767650816,Fri Feb 22 23:57:14 +0000 2019,"Am neither in support of #APC nor #PDP nor any other party... What am interesting on is simple. ""A New Face as President"" #NigeriaDecides2019 #NigeriaDecides",praizeonu,390475214,0,0,,#APC #PDP #NigeriaDecides2019 #NigeriaDecides,,
