id,created_at,original_text,screen_name,author_id,replies,retweet_count,to,hashtags,user_mentions,urls
581969004526477312,Sat Mar 28 23:59:57 +0000 2015,You say wetin? RT @PremiumTimesng: #NigeriaDecides: Jonathan loses Aso Rock polling unit to Buhari http://goo.gl/aV9OL7,CallHimDammy,155786639,0,1,,#NigeriaDecides,@PremiumTimesng,http://goo.gl/aV9OL7
581968987711508480,Sat Mar 28 23:59:53 +0000 2015,"Jonathan, Buhari and 56 million PVCs in-between -By Steve Ayorinde http://shar.es/1gbAb0 via @OpinionNigeria",OpinionNigeria,623557211,0,0,,,@OpinionNigeria,http://shar.es/1gbAb0
581968952072495106,Sat Mar 28 23:59:45 +0000 2015,@kirstenareveli1 @KierstinShears @sbretz05 @AndiBratt2014 @renee4bzs @BlondaRoque Jonathan responded to me first.,jenlschiffer,70721393,0,0,kirstenareveli1,,@kirstenareveli1 @renee4bzs @BlondaRoque,
581968920460046336,Sat Mar 28 23:59:37 +0000 2015,@wilhenkuchta amigo é a realidade,jonathan_aires,375943810,1,0,wilhenkuchta,,@wilhenkuchta,
581968920116072448,Sat Mar 28 23:59:37 +0000 2015,"When PDP supporters tell you that GEJ till 2019, yes they mean it. It means Jonathan is campaigning to come back... http://fb.me/7bB4eUxYx",TheReturnOfArse,1573285915,0,0,,,,http://fb.me/7bB4eUxYx
581968899475959808,Sat Mar 28 23:59:32 +0000 2015,"""The chiefs in this new govt. are social media and the youth.Jonathan couldn’t bribe our youth or our media.""-Dr Brimah Peregrino @SaharaTV1",SaharaReporters,17409452,13,178,,,@SaharaTV1,
581968823034753025,Sat Mar 28 23:59:14 +0000 2015,Why I Will Fail To Vote for Mr. Jonathan Ebele Azikiwe Goodluck Tomorrow -By Femi Akinfolarin http://shar.es/1gbjPZ via @OpinionNigeria,OpinionNigeria,623557211,0,0,,,@OpinionNigeria,http://shar.es/1gbjPZ
581968818962059265,Sat Mar 28 23:59:13 +0000 2015,Pres Jonathan is gone he is now part of Nigeria's history. Nigerians have spoken,ayooluwarotimi,583041524,0,0,,,,
581968818114813952,Sat Mar 28 23:59:13 +0000 2015,@markbairden Mark your example of Syriza was a great example of democracy working without violence. Let's use the tools the state give us.,jonathan_mckay,371281703,2,0,markbairden,,@markbairden,
581968793552883713,Sat Mar 28 23:59:07 +0000 2015,#NigeriaDecides: Jonathan loses Aso Rock polling unit to Buhari http://dlvr.it/98sNDl,PremiumTimesng,373978904,4,48,,#NigeriaDecides,,http://dlvr.it/98sNDl
581968793401888768,Sat Mar 28 23:59:07 +0000 2015,#NigeriaDecides: Jonathan loses Aso Rock polling unit to Buhari http://dlvr.it/98sMVD #Nigeria #News,9jaCorpers,870588272,0,0,,#NigeriaDecides #Nigeria #News,,http://dlvr.it/98sMVD
581968753233129472,Sat Mar 28 23:58:57 +0000 2015,Me asombra tu respuesta sobre el stay strong. Cuando algun dia te vuelva a ver o... — esta bien jonathan asi sera(; http://ask.fm/a/c3lehpie,Srtacastle_,1641860928,0,0,,,,http://ask.fm/a/c3lehpie
581968749512781824,Sat Mar 28 23:58:56 +0000 2015,"@myrkin пока на PS4 не завезут игры, удобный интерфейс и фичи вроде Kinect, пока ее не сделают тихой и не починят PSN-там нечего ловить",Jonathan_x64,381554576,0,0,Myrkin,,@Myrkin,
581968743539965952,Sat Mar 28 23:58:55 +0000 2015,Photos: President Jonathan and wife at their Nigeria polling unit: President Jonathan and his wife Patience pi... http://bit.ly/1FXCURA,MonteOzAfrica,364456514,0,0,,,,http://bit.ly/1FXCURA
581968725844365312,Sat Mar 28 23:58:51 +0000 2015,"We expect Jonathan, Buhari to split S/West votes — Gani Adams http://newsroom.ng/story/226766",Neusroom,1425159362,0,0,,,,http://newsroom.ng/story/226766
581968711587741696,Sat Mar 28 23:58:47 +0000 2015,"Jonathan McReynolds ""Gotta Have You"" - out on April 6th... produced by Warren Campbell and written by Jonathan... http://fb.me/1Dti4q9ex",sstudieschic,28909460,0,0,,,,http://fb.me/1Dti4q9ex
581968695263629313,Sat Mar 28 23:58:44 +0000 2015,Nothing like Jonathan turning up in New York 😂 https://instagram.com/p/0ymlj5TLW8/,AhleLovesYou,246933076,0,0,,,,https://instagram.com/p/0ymlj5TLW8/
581968681628004354,Sat Mar 28 23:58:40 +0000 2015,"""@vanguardngrnews: We expect Jonathan, Buhari to split S/West votes — Gani Adams See:http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/ "" Abeg!",kudusadebayo,47806678,0,0,vanguardngrnews,,@vanguardngrnews,http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/
581968678733946880,Sat Mar 28 23:58:40 +0000 2015,"We expect Jonathan, Buhari to split S/West votes — Gani Adams: Otunba Gani… http://goo.gl/fb/0NUqyr #marvellous997",marvellous997,1229641040,0,0,,#marvellous997,,http://goo.gl/fb/0NUqyr
581968675554611202,Sat Mar 28 23:58:39 +0000 2015,"“@vanguardngrnews: We expect Jonathan, Buhari to split S/West votes — Gani Adams See:http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/ Kirikiri waiting for you.",JasolaLawal,3052705023,0,0,vanguardngrnews,,@vanguardngrnews,http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/
581968672480239616,Sat Mar 28 23:58:38 +0000 2015,"We expect Jonathan, Buhari to split S/West votes — Gani Adams http://goo.gl/mbIPWR",newsheadlinesng,2957374967,0,0,,,,http://goo.gl/mbIPWR
581968665513459712,Sat Mar 28 23:58:36 +0000 2015,"Jonathan vai querer me matar pq nai fui lá, mas também com a familia que tenho, quer o quê 😠😠😂",opacarole,943246368,0,0,,,,
581968664800452609,Sat Mar 28 23:58:36 +0000 2015,"@jonathan_aires migo, pare com esses comentários enfadonhos por favor",wilhenkuchta,111737661,1,0,jonathan_aires,,@jonathan_aires,
581968661960884224,Sat Mar 28 23:58:36 +0000 2015,"@samomatseye Thank you, Jonathan should have conceded by now.",omooluda1,261060109,0,0,samomatseye,,@samomatseye,
581968655426158592,Sat Mar 28 23:58:34 +0000 2015,@adamovich_igor o jonathan deixou foi 🌚😂,oxebandamovich,1661565576,0,0,adamovich_igor,,@adamovich_igor,
581968643614904320,Sat Mar 28 23:58:31 +0000 2015,Braking News !!! President Jonathan Loses Inside Presidential Villa http://goo.gl/fb/Tdg9Gj,LailaIjeoma,504207204,1,0,,,,http://goo.gl/fb/Tdg9Gj
581968642574716928,Sat Mar 28 23:58:31 +0000 2015,"President Goodluck Jonathan has lost to the All Progressive Congress candidate, General… http://goo.gl/fb/y08Nue",Ibrahimiybm,612797013,0,0,,,,http://goo.gl/fb/y08Nue
581968639559131136,Sat Mar 28 23:58:30 +0000 2015,"""Did he. Because its all one sided@vanguardngrnews: We expect Jonathan, Buhari to split S/West votes — Gani Adams See:http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/",EjiroOrherhe,260237599,0,0,,,,http://www.vanguardngr.com/2015/03/we-expect-jonathan-buhari-to-split-swest-votes-gani-adams/
581968620064010240,Sat Mar 28 23:58:26 +0000 2015,"@Jonathan_Blow To celebrate the Overwhelming Positive on Steam, I just refinished Braid. Thanks again for sharing your journey.",PolecatIV,394933285,0,0,,,@Jonathan_Blow,
581968604368887808,Sat Mar 28 23:58:22 +0000 2015,Sight and sound of 2015 electioneering: President Goodluck Jonathan is… http://goo.gl/fb/185bx2 #inspiredreporters,inspiredMichael,49769312,0,0,,#inspiredreporters,,http://goo.gl/fb/185bx2
581968568331280384,Sat Mar 28 23:58:13 +0000 2015,Jonathan Quick is Confirmed to start for the Los Angeles Kings today. http://www.leftwinglock.com/starting-goalies #nhl #startinggoalies,Left_Wing_Lock,79886492,0,0,,#nhl #startinggoalies,,http://www.leftwinglock.com/starting-goalies
581968544411193344,Sat Mar 28 23:58:08 +0000 2015,"We expect Jonathan, Buhari to split S/West votes — Gani Adams http://dlvr.it/98sGHG",breakingnewsnig,361832401,0,1,,,,http://dlvr.it/98sGHG
