id,created_at,original_text,screen_name,author_id,replies,retweet_count,to,hashtags,user_mentions,urls
1098834531791134720,Fri Feb 22 06:39:02 +0000 2019,May God bless our democracy and forever bless the Federal Republic of Nigeria.,MBuhari,2936714848,762,1352,,,,
1098834450618691584,Fri Feb 22 06:38:43 +0000 2019,"As citizens there is no greater duty than this and no greater honour. Tomorrow, I know you will once again make Nigeria proud of its people.",MBuhari,2936714848,355,934,,,,
1098834380775133185,Fri Feb 22 06:38:26 +0000 2019,"Honour your civic duty as voters by going to the polls tomorrow to vote for the government of your choice, for the government that will lead Nigeria toward its finest destiny.",MBuhari,2936714848,154,571,,,,
1098834296746446848,Fri Feb 22 06:38:06 +0000 2019,"Tomorrow is an encounter with history in which you, the people, shall affirm your collective belief in our national greatness and in our future. I ask that you embrace and hold on to the importance of the moment soon to be upon us.",MBuhari,2936714848,82,470,,,,
1098834097131139072,Fri Feb 22 06:37:18 +0000 2019,We appreciate their efforts in encouraging us to further entrench and strengthen our democracy.,MBuhari,2936714848,32,387,,,,
1098833987416571904,Fri Feb 22 06:36:52 +0000 2019,"As we thank domestic monitors and observers for their contributions to our democracy, we also thank the international groups for the friendship and concern they have demonstrated to our nation.",MBuhari,2936714848,16,400,,,,
1098833909071183872,Fri Feb 22 06:36:33 +0000 2019,International and domestic monitors and observers are assured of their safety and freedom of movement needed to perform their important functions.,MBuhari,2936714848,18,389,,,,
1098833841354100736,Fri Feb 22 06:36:17 +0000 2019,"You will be able to vote in an atmosphere of openness and peace, devoid of fear from threat or intimidation.",MBuhari,2936714848,67,440,,,,
1098833759741399040,Fri Feb 22 06:35:58 +0000 2019,Do not be afraid of rumours of violence and unrest. Our security agencies have worked diligently to ensure that adequate security measures are in place.,MBuhari,2936714848,54,426,,,,
1098833700475863040,Fri Feb 22 06:35:44 +0000 2019,"All who are able, must vote so that we may better perfect this democracy and continue to build the greater nation we seek.",MBuhari,2936714848,41,387,,,,
1098833587531665408,Fri Feb 22 06:35:17 +0000 2019,"No matter our political leanings, we all believe in Nigeria, in the noble principles for which it stands and in the values we strive for our beloved nation to uphold.",MBuhari,2936714848,15,417,,,,
1098833515846733825,Fri Feb 22 06:35:00 +0000 2019,To vote means that you believe in Nigeria and the excellent things the future holds for this nation and its people.,MBuhari,2936714848,33,404,,,,
1098833441351708673,Fri Feb 22 06:34:42 +0000 2019,Do not allow anyone to discourage you from the exercise of your rights as citizens and voters tomorrow.,MBuhari,2936714848,38,401,,,,
1098833362016485376,Fri Feb 22 06:34:23 +0000 2019,"It is only upon the freely expressed will of the people that government truly dedicated to the welfare, rights and interests of the people can be founded.",MBuhari,2936714848,16,363,,,,
1098833270601646082,Fri Feb 22 06:34:01 +0000 2019,I say this because elections are the cornerstone of representative governance. And voting constitutes the highest and best expression of the sovereign will of the people to choose the government that best represents them.,MBuhari,2936714848,18,398,,,,
1098833015810256897,Fri Feb 22 06:33:00 +0000 2019,"As your President, I hereby ask all Nigerians with voting cards to participate in defining the future of our nation by exercising your democratic rights tomorrow. I urge you to go out and vote.",MBuhari,2936714848,79,531,,,,
