id,created_at,original_text,screen_name,author_id,replies,retweet_count,to,hashtags,user_mentions,urls
581969001925988352,Sat Mar 28 23:59:57 +0000 2015,"@Basswaht that's all I'm asking, and it seems to be a pervading problem amongst anti-PDP-ists",nnwigene,105110935,0,0,Basswaht,,@Basswaht,
581968997790408704,Sat Mar 28 23:59:56 +0000 2015,"Reps: PDP 108, APC 530, labour party 1, invalid 4",kasym24,378659817,0,0,,,,
581968994082643968,Sat Mar 28 23:59:55 +0000 2015,"Presidential result finally done with in my PU 002. Life Camp, Gwarimpa Abuja. APC : 354 PDP. : 284 @omojuwa @DeleMomodu",BusyBrain1,69619872,0,9,,,@Omojuwa @DeleMomodu,
581968989993201664,Sat Mar 28 23:59:54 +0000 2015,jist me about APC and pdp,AganranO,3113687521,0,0,,,,
581968984628719616,Sat Mar 28 23:59:53 +0000 2015,"Obasanjo left PDP and for the first time, won his ward. If that's not #Change, wonder what is.",faroukshateema,2278503538,0,0,,#Change,,
581968974411382784,Sat Mar 28 23:59:50 +0000 2015,"RT @abubakar47i The PU at Layin Kuka, U/Dosa: Presidential APC: 557 PDP: 0 #SitRoom15 Cc @DOlusegun",Nubian_Semm,87635886,0,0,,#SitRoom15,@abubakar47i @DOlusegun,
581968969940254722,Sat Mar 28 23:59:49 +0000 2015,[DailyPost] Nigeria Decides: APC floors PDP in Obasanjo’s polling unit http://nnewsh.co/1D2SmcQ #OurVoice_NigYouth,semilogou,1700453148,0,0,,#OurVoice_NigYouth,,http://nnewsh.co/1D2SmcQ
581968961039933441,Sat Mar 28 23:59:47 +0000 2015,"""@Latchenko: Polling Unit Ward 016 faskari LG katsina state.&#13;Presidentials&#13;APC: 472&#13;PDP: 22. #Nigeriadecides #NotToRigging #IvotedBuhari""",abdulgbawa,191975535,0,3,,#Nigeriadecides #NotToRigging #IvotedBuhari,@Latchenko,
581968954891100161,Sat Mar 28 23:59:45 +0000 2015,@KobokoGCFR so nah PDP be night crawlers abi,Thatcraybobby,1596560557,0,0,KobokoGCFR,,@KobokoGCFR,
581968942392016896,Sat Mar 28 23:59:42 +0000 2015,"RESULT: Minister of Education Mal. Shekarau PU, Giginyu Ward 003 APC 235 PDP 8 #SitRoom15",BashirAhmaad,104296908,8,163,,#SitRoom15,,
581968938600370177,Sat Mar 28 23:59:42 +0000 2015,"Na'ibawa Primary School, Kano city- APC scored 2493, PDP 41.",SMosud,1460947999,0,0,,,,
581968933395279873,Sat Mar 28 23:59:40 +0000 2015,Girei 2 ward. Girei LGA Adamawa state. PDP -327 APC -1772 @DeleMomodu @ThisIsBuhari @mareeyama,Lukman_AbuSulym,255019594,0,0,,,@DeleMomodu @ThisIsBuhari @Mareeyama,
581968920116072448,Sat Mar 28 23:59:37 +0000 2015,"When PDP supporters tell you that GEJ till 2019, yes they mean it. It means Jonathan is campaigning to come back... http://fb.me/7bB4eUxYx",TheReturnOfArse,1573285915,0,0,,,,http://fb.me/7bB4eUxYx
581968919805747201,Sat Mar 28 23:59:37 +0000 2015,"""@TWEETORACLE: The fact that David Mark lost in his native state suggests that PDP will surely CRUMBLE at the presidentials #NigeriaDecides""",suretrustng,181515376,0,0,,#NigeriaDecides,@TWEETORACLE,
581968903372439553,Sat Mar 28 23:59:33 +0000 2015,So far so good it's been APC winning..personal research and news around the country but we hear PDP votes use to... http://fb.me/2HAR075Ug,SwagSmiith,83824605,0,0,,,,http://fb.me/2HAR075Ug
581968899492573184,Sat Mar 28 23:59:32 +0000 2015,"Finally! Femi Okunnu 09 is here Presidency: APC 202 PDP 116 Senate: APC 200, PDP 117 VOID 10 House of Reps: APC 199, PDP 105 VOID 23",iamDo2dtun,35963976,1,81,,,,
581968897907277824,Sat Mar 28 23:59:32 +0000 2015,"Fake news oh ""@DatWeyreyBoi: hahahahahaha *my chest* ""@woleawosika: Alimosho Lagos State Presidency PDP - 3837 APC - 57,923 #NigeiaDecides.""",Go_zim,567835743,0,1,,#NigeiaDecides,@woleawosika,
581968877778812928,Sat Mar 28 23:59:27 +0000 2015,"PU064B Abesan Estate Ipaja Alimosho area election results, Presidential 32 PDP 8, Senate: APC 32 PDP 8, Rep: APC 32 PDP 8",Omotoshoak,609223479,0,0,,,,
581968869222453249,Sat Mar 28 23:59:25 +0000 2015,PU-o30 -ugwar/sarki kaduna. North presidential. APC300 PDP 2..,sadiomilano,488883181,0,0,,,,
581968868333207552,Sat Mar 28 23:59:25 +0000 2015,"RESULTS: Polling unit 012 Tudun Wada, Kaduna State Presidentials APC: 648 PDP: 00 #Nigeriadecides""",Jiddanberry,983085576,0,3,,#Nigeriadecides,,
581968868148703233,Sat Mar 28 23:59:25 +0000 2015,"@SaharaReporters No party can beat the #PDP in ""government magic""! Vigilance needed! They will use all the abracadabra in their arsenal!",oonyejek,283096687,0,0,SaharaReporters,#PDP,@SaharaReporters,
581968861932728320,Sat Mar 28 23:59:23 +0000 2015,"PDP in a seismic loss in Kaduna. Namadina, Former Gov Makarfi, Gov Yero have ALL lost their wards.",bujahun99,2515407184,0,7,,,,
581968858262683648,Sat Mar 28 23:59:22 +0000 2015,I don't know who to believe again. My facebook people are telling me PDP lost Rivers. Twitter is saying APC lost Rivers. God dey o!!,uwemspeaks,115663035,0,0,,,,
581968851908345857,Sat Mar 28 23:59:21 +0000 2015,"In some places in Akwa Ibom State, INEC ad hoc staffs negotiated openly for bribes with PDP agents @inecnigeria @SaharaReporters @Ayourb",InibeheEffiong,507351120,5,75,,,@inecnigeria @SaharaReporters @ayourb,
581968840420122624,Sat Mar 28 23:59:18 +0000 2015,We equally delivered house of Rep candidate Hon Zephaniah Jisalo in my PU Idu prim school 010 FCT Abuja PDP-297 APC 71 APGA 132.,max4real_13553,2175083824,0,0,,,,
581968838776000512,Sat Mar 28 23:59:18 +0000 2015,"Conspiracist ""@Tzar_Marc: I'll be Shocked if GMB wins...&#13;&#13;I do want him to win... But PDP's got too much influence up in INEC..""",NaetoHovy,1163272849,0,0,,,@Tzar_Marc,
581968835395366912,Sat Mar 28 23:59:17 +0000 2015,"Now let's be realistic,PDP is so dominant there's no PU in d country they wudn't get a single vote,except ofkos d process wasn't fair.",ohMuna_,308897917,0,1,,,,
581968829649129472,Sat Mar 28 23:59:16 +0000 2015,"#NigeriaDecides ""@elrufai: My polling unit 024 Anguwar Sarki Ward, Kaduna North: APC 430, PDP 11, APA 1, AD 1, VOID - 3.....Alhamdulillah""",DOCkayer,78323635,0,2,,#NigeriaDecides,@elrufai,
581968815719911426,Sat Mar 28 23:59:12 +0000 2015,"@Abuja_Facts: Apo Legislative Quarters Polling Unit: Presidential: APC- 356. PDP - 295. #NigeriaDecides""",teejaybaba,450705879,0,0,,#NigeriaDecides,@Abuja_Facts,
